item_index,comment,
1031976,I always choose Pampers over any other brand.. They are perfect for my overactive children.,
1031977,Pampers sensitive wipes are a good value. My son's delicate baby skin has never had any bad reactions with this product!,
1031978,Me encantan los nuevos panales pampers ya que mantienen a mi bebe siempre seca,
1031979,"I Love How Soft Thes Wipes Are. Keeps My baby's Bottom Clean And A The Scent Isn't Strong. In Fact, There Is Barely A Scent At All! These Wipes Are So Soft That I Use Them To Take Off My Make Up. The Only Kind Of Wipes I Would Use For Anything!",
1031980,"My husband and I love the wetness indicator. We accidently bought a package of diapers without the wetness indicator and we were lost. We swore we smelled something all the time! The Absorb Away liner is the best! My daughter stays dry during those moments when I can't change her right away, like the car ride home! I don't know what I would have done without these diapers!",
1031981,"We received a TON of pampers swaddlers as baby shower gifts. We went through only one package before we realized it was no coincidence that our son's skin was breaking out in a rash from front to back when we were using these diapers. Pampers swaddlers sensitive are a better choice to avoid the rash, but are more expensive. Our local crisis pregnancy center benefitted from our son's skin reaction, as we donated all of our pampers diapers to them!",
1031982,I give it a 5 in all areas except Dryness. My reason for giving it a 4 for Dryness is due to the fact that my 1 year old wakes up most mornings waterlogged with wet pajamas. I even reduced his bedtime liquids with no change in the results. A great product otherwise!!,
1031983,"These were the first diapers we bought and we stuck with them since! No leaks, no diaper rash, no problems. Worth more than the bargain brand for sure!",
1031984,We used pamper's sensitive wipes right away. I have sensitive skin so I thought she might too. Well I was right to do so. The first time grandma watched her she use a generic brand of wipes. My daughter got a rash immediately from it. We weren't sure that caused until it happened again the next time grandma watched her. After getting grandma to switch to the pamper's sensitive wipe she no longer got a rash.,
1031985,The swaddlers diapers are great all around. I love the new diaper smell and they are comfy for baby. I like the sensitive type best but these would be my second choice.,
1031986,"We love Pampers Baby Dry! We've never had a leak which means they fit perfectly and they have great absorbancy even throughout the night when she was younger. Now that she sleeps very long stretches at night we use Pampers Extra Protection (also an amazing diaper line, but that's another rave review for another time). Our little one can happily enjoy her busy, wiggly, on the move day without a care in the world - comfy and dry all day long.",
1031987,"I love Pampers Swaddlers and was excited when they decided to go up to size 5. I was worried about having to switch when my daughter grows out of size 3, but do not have to worry anymore. -  - The new diapers are more absorbent and keep my daughter dry day and night. I also like the wetness indicator strip and was glad they continued with sizes 4 and 5. -  - l definitely recommend Pampers Swaddlers.",
1031988,"When my husband and I first had our son, we had been given a bunch of diapers as shower gifts. Whenever we tried to use Huggies or another off brand our son ALWAYS ended up peeing through all his clothes. Pampers were the only diaper that always worked on keeping us all dry  0% of the time!",
1031989,We had a premie and used newborn diapers for almost 2 months. They fit so nice and loved the quality.,
1031990,Pampers is the only brand of diapers we use for my 2 year old and newborn. Great products all the way around!,
1031991,"We have one twin with ultra sensitive skin prone to rash, so we have to be careful about what we use for her frequent changes. The Sensitive wipe is one of the best we've encountered and we know we can trust it to not irritate her skin as it is alcohol and fragrance free. Mom also appreciate the new packaging so she can read her rewards numbers!",
1031992,"I always have these on hand when I am out and about with the kids, works great not just to change diapers but also clean of little hands at the park before snack time or for spills in the car when out and about. I have tried different brand wipes but I don't like the smell and texture of other brands tested. Stuck with Pampers",
1031993,"We received several brands of diapers at baby showers for my now 9-month old. Like many rookie moms, I opened all the packages and stocked all the diapers perfectly in the nursery. Once my son arrived, his skinny little legs caused leak problems in most of the diapers, the Snugglers were the only thing that worked until he grew some meat on those bones! Now we are up to baby dry.",
1031994,"Pampers Swaddlers are a wonderful product that keeps baby dry. I have used them on both my girls since birth:) They have never let me down, even with baby blow outs. I still use them on my 8 month old!",
1031995,"For both of my children, I have used Pampers. They are a great quality product. We tried a couple different brands when my oldest was a baby, but found them to be to tight, not as absorbent and the quality was not good. When we found pampers, we never looked back!",
1031996,I use these diapers for overnight. Regular diapers just could not last long enough for his sleep pattern. With the Pampers Extra Protection he no longer wakes up to wet bed cloths!,
1031997,I really loved pampers until I discover d targets up and up diapers. Having a newborn I used pampers for the first 3 months. . Just gets expensive. Overall great quality,
1031998,These are by far my favorite and my #1 choice. They definitely live up to their name. I just wish they had a bigger box available!,
1031999,"One of our twins has to be changed constantly for fear of diaper rash, but with Swaddlers we rest mostly comfortably knowing she'll be protected her 12 hours sleep at night in a Swaddler diaper. Mom and Dad appreciate the extra sleep too.",
1032000,I tried others and went back to Pampers. My baby stay dry. I have only had a couple of leaks ever with 2 babies (currently 15 and 31 months).,
1032001,Our son was ten pounds at birth so he has been in size three cruisers for months already! I love the way they fit and how they keep him dry.,
1032002,Used these for my boys when they were newborn. Felt it was important to use baby laundry detergent so why use wipes with fragrance that could irritate their sensitive skin. I never had any problems with rash from the wipes. The wipes are soft and cleans well.,
1032003,"I have a small 5 month old baby boy, and these diapers leak out much quicker than the Swaddlers do for us. They do not last 12 hours--maybe half that. These just do not work for us.",
1032004,I like the swaddlers because they are super absorbent. I also love the little line that changes color when baby is wet. They are good overnight pampers as well - I don't have a sopping wet baby in the morning. I'm happy they have bigger sizes too!,
1032005,These diapers were so wonderful during our first weeks at home with our son. The softness and witness indicators were big bonuses.,
1032006,My daughter was a happy baby. She never cried when she wet her diapers. She slept through the night early on. Even after she wet her diapers she felt dry. I LOVE the indicator stripe letting us know when to change her. Very awesome! My daughter is tall and skinny. We weren't always able to go just by weight suggestions for diaper size we sometimes had to go up a size earlier because of her height. The only time we had problems with leaks were when needed to go up in a size.,
1032007,"My husband and I absolutly LOVE these diapers,we ahve always started with pampers since the birth of our baby and will NOT use anything but.",
1032008,I loved these diapers for my newborn. They never leaked and provided the comfort he needed.,
1032009,I tried a couple different brands of newborn diapers trying to find the best one for my son. The only brand I bought more of and continue to use is Pampers Swaddlers!,
1032010,Great over night diapers! Most absorbent diapers I've ever used. Fit is good.,
1032011,Pamper Swaddlers was a great fit & kept my little one dry.,
1032012,"Bringing home a new baby, you want to use the most softest and gentlest products on them. Pampers Sensitive worked great. They were extra soft and absorbent. The fit was wonderful too. Perfect for the new addition.",
1032013,I used the swaddles for both my boys when they were newborn. Umbilical cord cut out is great since you don't have to fold the diaper down. Kept the boys dry and happy!,
1032014,My daughter has very sensitive skin. We try other diaper from pampers and other brands and always go back to these. I love the wetness indicator as well.,
1032015,"My baby is much smaller than babies his age. He would have accidents with all other brands except Pampers although he was well within the weight range of the diaper. In order to avoid the accident I would have to change the diaper as soon as it was wet. So, why save a few cents on a diaper when you can use less diapers with Pampers?",
1032016,"I have been using swaddlers by pampers for my first child and have continue using them for my second they continue to meet my expectations that I expect from pampers. Best diapers out there, and trust me I tried my fair share.",
1032017,"I bought these thinking that since my son was growing and moving around more that these might have a better fit to prevent leaks. I can't see any difference between these and the Swaddlers which have the wetness indicator, so I switched back to them!",
1032018,"We have been pleased overall with the Easy Ups Trainers for Girls. My daughter has loved being able to put them on herself. They are a little hard to get off without making a mess if they go #2, but I think that is probably to be expected regardless of the product.",
1032019,My daughter has very sensitive skin. This is the only product that doesn't bother her skin.,
1032020,We use these diapers every night and we have had no problems with leakage. He wears them for around 12 hours and although they are full in the morning we do not have any issues with them leaking onto the bed or his pajamas. We love the pampers brand and do not plan to ever use anything else.,
1032021,"Being a first time mom, I only wanted the best for my baby. Liked the quality of this diaper.",
1032022,These are outstanding for their intended use but also are wonderful to always have around to clean up anything. You can even take off your eye makeup with them!,
1032023,We fell in love with the swaddler diapers so it was only natural to move on to the cruisers when it was time. Our son loves them and these are the only brand of diapers we have used. They have been great and we have had no problems with them. Great fit and we love the different designs on them because it's always a surprise to see what he will wear next.,
1032024,We have been using these for 2 months now on our son and they are fantastic great value and amazing product.,
1032025,I absolutely love the swaddlers diapers. I have used them for both of my children!,
1032026,"The blue indicator strip is a great feature though not very necessary after size 2, since you learn to tell when the diaper is wet. The fabric of the diaper is soft and light but they have great absorbency. We have had a few incidences of wet and dirty leak but I have not heard of any diapers that haven't ever. Our baby is into size 4 now and we will still be using the Swaddlers in size 5!",
1032027,"We were given Pampers diapers as a baby shower gift and loved them. That is the only brand we wear in our house. The diapers keep him dry, he's able to move freely in them, and they fit great.",
1032028,"From the day my little guy was born, My husband and I took him home from the hospital in a Pampers diaper. I will say I did try other brands, and I always went back to Pampers. My son is now 1 yr and 4 months old and does sleep through the night now that I use Pampers baby dry. The best part is I do not even have to buy over night diapers, the Pampers Baby Dry work wonders! Other brands he wakes up wet. I love how they fit just snug enough so nothing leaks out. Thank you!",
1032029,I prefer Pampers diapers hands down. I've used them with both of my children and wouldn't recommend any other!,
